"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"ffc6d287-4d92-4cc1-85b1-569fa7299e6f","OBS407327017","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","DPIF Research Station (Walkamin) (restricted access)","-17.1341","145.427","EPSG:4326","-17.1341","145.427","","","Australia","Queensland","Tablelands (R)","","Einasleigh Uplands","","","","","1","obsr357881","2016","05","25","2016-05-25","2016-05-25","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"fd081b77-0405-46fc-b4e3-e4c9f787c504","OBS402358171","urn:lsid:biodiversity.org.au:afd.taxon:65c2e940-484e-432b-95ab-930b44ed0287","Todiramphus sanctus (Vigors & Horsfield, 1827)","Sacred Kingfisher","Todiramphus (Todiramphus) sanctus","species","Sacred Kingfisher","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus sanctus","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Victoria River Crossing--boat ramp","-15.6307","131.133","EPSG:4326","-15.6307","131.133","","","Australia","Northern Territory","Victoria-Daly (S)","","Victoria Bonaparte","","","","","1","obsr432895","2016","05","14","2016-05-14","2016-05-14","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"fcb559d9-b285-4193-a50f-2b0eed620c9a","OBS397410479","urn:lsid:biodiversity.org.au:afd.taxon:9abbca14-edaa-4f2f-862b-7a628af7d156","Merops ornatus Latham, 1801","Rainbow Bee-eater","Merops (Merops) ornatus","species","Rainbow Bee-eater","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Victoria River Crossing--boat ramp","-15.6307","131.133","EPSG:4326","-15.6307","131.133","","","Australia","Northern Territory","Victoria-Daly (S)","","Victoria Bonaparte","","","","","4","obsr290355","2016","05","2","2016-05-02","2016-05-02","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"fb94a182-342d-441b-a5ac-8cdf78cbc32b","","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr359","BirdLife Australia, Birdata","","","","","CC-BY-NC","","","Reid Residence","-35.07472","138.70720","AGD84/66","-35.07345","138.7083","","100.0","Australia","South Australia","Adelaide Hills (DC)","","Flinders Lofty Block","","","","","","","2014","05","","2014-05-12","","","HumanObservation","present","","","","true","true"
"f9c2031e-d3eb-4983-8f06-149e6b3b77a2","OPB480732-9","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.07472","138.70723","WGS84","-35.07472","138.70723","","500.0","Australia","South Australia","Adelaide Hills (DC)","","Flinders Lofty Block","","","","","2","REID D.R. Donald","1981","05","","1981-05-01","1981-05-01,M","HumanObservation","HumanObservation","present","","","","true","true"
"f8c5e062-7b83-45d5-8b7a-ff86e52a7877","OPB480959-11","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.07472","138.70723","WGS84","-35.07472","138.70723","","500.0","Australia","South Australia","Adelaide Hills (DC)","","Flinders Lofty Block","","","","","17","REID D.R. Donald","2001","05","","2001-05-01","2001-05-01,M","HumanObservation","HumanObservation","present","","","","true","true"
"f72bd318-c2d4-4ffc-8716-f0e8e2bb14b8","OBS767958249","urn:lsid:biodiversity.org.au:afd.taxon:9fbbee99-1f81-4c4d-9d8f-ac5cb9670fa5","Ceyx azureus","Azure Kingfisher","Ceyx azureus","species","Azure Kingfisher","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Ceyx","Ceyx azureus","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Victoria River Crossing--boat ramp","-15.6307","131.133","","-15.6307","131.133","","","Australia","Northern Territory","Victoria-Daly (S)","","Victoria Bonaparte","","","","","2","obsr24891","2019","05","27","2019-05-27","","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"f726a805-cbcc-47cc-bf92-0609705b6a5d","OBS770963055","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Hallorans Hill walking track--in Atherton","-17.2651","145.491","","-17.2651","145.491","","","Australia","Queensland","Tablelands (R)","","Wet Tropics","","","","","2","obsr656225","2019","05","26","2019-05-26","","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"f479c334-d463-4759-b685-54d1b42c6f4d","OBS554189082","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD_AU","Herron property, Conondale (restricted access)","-26.7265","152.717","","-26.7265","152.717","","","Australia","Queensland","Sunshine Coast (R)","","South Eastern Queensland","","","","","","obsr450602","2004","05","1","2004-05-01","","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"f2ba56c9-4e41-4fb0-b89d-5be6bcdf9420","OBS294799143","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Borumba Deer Park / Yabba Creek","-26.4937","152.598","EPSG:4326","-26.4937","152.598","","","Australia","Queensland","Gympie (R)","","South Eastern Queensland","","","","","","obsr450306","2012","05","5","2012-05-05","2012-05-05","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"f1399c1e-305d-46ac-91e1-b76c0cbb2a84","OBS757870767","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD_AU","The Eastern Golf Club (Yering)","-37.6952","145.334","","-37.6952","145.334","","","Australia","Victoria","Yarra Ranges (S)","","South Eastern Highlands","","","","","X","obsr501532","2019","05","12","2019-05-12","","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"ed4a0c5e-f7b7-407f-9046-6d3097c54f21","OBS404826194","urn:lsid:biodiversity.org.au:afd.taxon:9abbca14-edaa-4f2f-862b-7a628af7d156","Merops ornatus Latham, 1801","Rainbow Bee-eater","Merops (Merops) ornatus","species","Rainbow Bee-eater","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Beerburrum - Donnybrook Rd 10' cell, Donnybrook","-27.0058","153.05","EPSG:4326","-27.0058","153.05","","","Australia","Queensland","Moreton Bay (R)","","South Eastern Queensland","","","","","2","obsr435555","2016","05","19","2016-05-19","2016-05-19","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"ecbe6ad4-b711-4b68-b7e2-866d3be8ff3c","OBS216862826","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Tamrookum State School Wetland (restricted access)","-28.1026","152.918","EPSG:4326","-28.1026","152.918","","","Australia","Queensland","Scenic Rim (R)","","South Eastern Queensland","","","","","1","obsr433667","2013","05","9","2013-05-09","2013-05-09","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
"ec51a7c3-7937-4935-9c25-f3fabb8a2298","SPJGI0008716","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Dept of Planning, Industry and Environment","BioNet Atlas of NSW Wildlife","locality withheld","-33.706918269","150.712173902","GDA94","-33.706918268","150.712173902","","100.0","Australia","New South Wales","Penrith (C)","","Sydney Basin","","","","","","WOTD-HO","2002","05","14","2002-05-14","","HumanObservation","HumanObservation","present","","","","true","true"
"ea5ecd93-31f3-4788-b794-c658660a2d1d","4745168.00","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","West Road: Pearcedale 4km NW of Pearcedale","-38.1921","145.2033","GDA94","-38.1921","145.2033","","140.0","Australia","Victoria","Frankston (C)","","South East Coastal Plain","","","","","","Not Supplied","1999","05","03","1999-05-03","","Human Observation","HumanObservation","present","","","","true","true"
"e9a717d8-1687-48d7-9d83-81e4f7673110","OBS226509791","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo novaeguineae (Hermann, 1783)","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","species","Kookaburra","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae","","dr2009","eBird Australia","","","","","CC0","CLO","EBIRD","Mt Mee 10' Cell","-27.0823","152.737","EPSG:4326","-27.0823","152.737","","","Australia","Queensland","Moreton Bay (R)","","South Eastern Queensland","","","","","","obsr314930","1990","05","12","1990-05-12","1990-05-12","HUMAN_OBSERVATION","HumanObservation","present","","","","true","true"
